spec,N,beta_constraint,se_constraint,t_stat,p_value,R2,notes,check,n_countries,ci_lower,ci_upper
baseline_spec_1a,160,3.4837762428992534,3.4056531234148504,1.022939247378802,0.3157607083782447,0.5699828195145112,Replicated for comparison,,,-3.1913038789938533,10.15885636479236
A1_q0b_mean_score,160,0.0484645971307177,0.1815697359635838,0.266920017664386,0.7916364783096843,0.5657806260123324,Intensity measure: mean 1-10 score instead of share ranking as most important problem,,,-0.30741208535790654,0.40434127961934196
B1_exclude_2020,133,3.1085468771209563,3.897704397121335,0.797532742456505,0.4323654834048427,0.6002281600495125,COVID year excluded to test whether null is driven by pandemic disruption,,,-4.629374688631966,10.846468442873878
B2_high_income,80,-3.807619939500163,4.575011895609028,-0.8322644894441943,0.4202861008686054,0.6885137345512437,"High-income subsample (GDP/capita >= 23,140)",,,-13.040367736205468,5.425127857205141
B2_low_income,80,8.906146113144366,7.078326504728567,1.2582276484695574,0.2304390109080738,0.5004913332841259,"Low-income subsample (GDP/capita < 23,140)",,,-5.378495092623185,23.190787318911916
C1_eib_sectors_denominator,160,3.4852668183351194,3.40585688795338,1.0233156979268905,0.3155861056568843,0.5695473798052098,"Denominator = SME enterprises in EIB-relevant NACE sections only (C,D,E,F,G,H,I,J,L,M,N)",,,-3.1902126820535055,10.160746318723744
B3_euro_area,112,2.577094928657106,4.1541396519481815,0.6203679087795031,0.5427909674336311,0.5203709362168263,Euro area countries only (financially integrated),B3,19.0,-5.7002090129054235,10.854398870219635
B3_non_euro,48,7.726147583498897,4.8250461571998535,1.6012587925133253,0.1533533331410914,0.8088532161175488,Non-euro countries only (less financially integrated),B3,8.0,-3.024725221985169,18.477020388982965
B3_interaction,160,6.739858088286365,5.37513339560304,1.2538959672702623,0.2210371881722457,0.574360103694336,Interaction: difference in targeting slope between euro and non-euro,B3,27.0,-3.7954033670955933,17.275119543668325
B4_high_constraint,83,3.997027918080781,3.068553316140102,1.3025773080288516,0.2153226292293939,0.5300832576356393,High-constraint countries (mean >= 0.0872),B4,14.0,-2.1833557149185574,10.17741155108012
B4_low_constraint,77,5.960186322242487,8.768060011270757,0.6797611232793873,0.5095567063623587,0.6220730237494223,Low-constraint countries (mean < 0.0872),B4,13.0,-11.774889048892293,23.69526169337727
B4_interaction,160,-2.119165892122949,7.902335556044108,-0.2681695654523431,0.7906849999150649,0.5704002563349424,Interaction: difference in targeting slope between high and low constraint countries,B4,27.0,-17.6077435819694,13.369411797723505
